"id"	"name"
"128"	"ENSG00000175279.21"	"CENPS"
"129"	"ENSG00000241563.3"	"CORT"
"130"	"ENSG00000160049.11"	"DFFA"
"131"	"ENSG00000142655.12"	"PEX14"
"132"	"ENSG00000130940.14"	"CASZ1"
"133"	"ENSG00000175262.14"	"C1orf127"
"134"	"ENSG00000120948.16"	"TARDBP"
"135"	"ENSG00000277726.4"	"AL109811.4"
"136"	"ENSG00000009724.16"	"MASP2"
"137"	"ENSG00000116649.9"	"SRM"
"138"	"ENSG00000171824.13"	"EXOSC10"
"139"	"ENSG00000198793.12"	"MTOR"
"140"	"ENSG00000171819.4"	"ANGPTL7"
"141"	"ENSG00000120942.13"	"UBIAD1"
"142"	"ENSG00000204624.7"	"DISP3"
"143"	"ENSG00000116661.10"	"FBXO2"
"144"	"ENSG00000132879.13"	"FBXO44"
"145"	"ENSG00000116663.10"	"FBXO6"
"146"	"ENSG00000116670.14"	"MAD2L2"
"147"	"ENSG00000162490.6"	"DRAXIN"
"148"	"ENSG00000177674.15"	"AGTRAP"
"149"	"ENSG00000215910.7"	"C1orf167"
"150"	"ENSG00000177000.11"	"MTHFR"
"151"	"ENSG00000011021.21"	"CLCN6"
"152"	"ENSG00000175206.10"	"NPPA"
"153"	"ENSG00000120937.8"	"NPPB"
"154"	"ENSG00000116685.15"	"KIAA2013"
"155"	"ENSG00000083444.16"	"PLOD1"
"156"	"ENSG00000116688.16"	"MFN2"
"157"	"ENSG00000116691.10"	"MIIP"
"158"	"ENSG00000120949.14"	"TNFRSF8"
"159"	"ENSG00000028137.18"	"TNFRSF1B"
"160"	"ENSG00000048707.13"	"VPS13D"
"161"	"ENSG00000162496.8"	"DHRS3"
"162"	"ENSG00000204518.2"	"AADACL4"
"163"	"ENSG00000188984.11"	"AADACL3"
"164"	"ENSG00000157330.9"	"C1orf158"
"165"	"ENSG00000116726.4"	"PRAMEF12"
"166"	"ENSG00000116721.9"	"PRAMEF1"
"167"	"ENSG00000239810.3"	"PRAMEF11"
"168"	"ENSG00000179172.9"	"HNRNPCL1"
"169"	"ENSG00000120952.4"	"PRAMEF2"
"170"	"ENSG00000243073.3"	"PRAMEF4"
"171"	"ENSG00000187545.5"	"PRAMEF10"
"172"	"ENSG00000204510.5"	"PRAMEF7"
"173"	"ENSG00000232423.6"	"PRAMEF6"
"174"	"ENSG00000274764.5"	"PRAMEF27"
"175"	"ENSG00000277058.2"	"HNRNPCL3"
"176"	"ENSG00000229571.7"	"PRAMEF25"
"177"	"ENSG00000275774.2"	"HNRNPCL2"
"178"	"ENSG00000280267.4"	"PRAMEF26"
"179"	"ENSG00000179412.10"	"HNRNPCL4"
"180"	"ENSG00000204505.4"	"PRAMEF9"
"181"	"ENSG00000279169.2"	"PRAMEF13"
"182"	"ENSG00000279804.2"	"PRAMEF18"
"183"	"ENSG00000270601.4"	"PRAMEF5"
"184"	"ENSG00000182330.10"	"PRAMEF8"
"185"	"ENSG00000237700.2"	"PRAMEF33"
"186"	"ENSG00000204501.7"	"PRAMEF15"
"187"	"ENSG00000204481.7"	"PRAMEF14"
"188"	"ENSG00000204480.7"	"PRAMEF19"
"189"	"ENSG00000204479.4"	"PRAMEF17"
"190"	"ENSG00000204478.9"	"PRAMEF20"
"191"	"ENSG00000162494.5"	"LRRC38"
"192"	"ENSG00000162493.16"	"PDPN"
"193"	"ENSG00000116731.22"	"PRDM2"
"194"	"ENSG00000189337.16"	"KAZN"
"195"	"ENSG00000171729.13"	"TMEM51"
"196"	"ENSG00000142621.19"	"FHAD1"
"197"	"ENSG00000142634.12"	"EFHD2"
"198"	"ENSG00000162438.11"	"CTRC"
"199"	"ENSG00000142615.7"	"CELA2A"
"200"	"ENSG00000215704.9"	"CELA2B"
"201"	"ENSG00000132906.17"	"CASP9"
"202"	"ENSG00000116138.12"	"DNAJC16"
"203"	"ENSG00000116771.5"	"AGMAT"
"204"	"ENSG00000197312.11"	"DDI2"
"205"	"ENSG00000215695.1"	"RSC1A1"
"206"	"ENSG00000116786.11"	"PLEKHM2"
"207"	"ENSG00000162461.7"	"SLC25A34"
"208"	"ENSG00000162460.6"	"TMEM82"
"209"	"ENSG00000162458.12"	"FBLIM1"
"210"	"ENSG00000233954.6"	"UQCRHL"
"211"	"ENSG00000065526.10"	"SPEN"
"212"	"ENSG00000116809.11"	"ZBTB17"
"213"	"ENSG00000183888.4"	"C1orf64"
"214"	"ENSG00000173641.17"	"HSPB7"
"215"	"ENSG00000186510.11"	"CLCNKA"
"216"	"ENSG00000184908.17"	"CLCNKB"
"217"	"ENSG00000185519.8"	"FAM131C"
"218"	"ENSG00000142627.12"	"EPHA2"
"219"	"ENSG00000142632.16"	"ARHGEF19"
"220"	"ENSG00000132881.11"	"RSG1"
"221"	"ENSG00000037637.10"	"FBXO42"
"222"	"ENSG00000055070.16"	"SZRD1"
"223"	"ENSG00000187144.11"	"SPATA21"
"224"	"ENSG00000157191.19"	"NECAP2"
"225"	"ENSG00000268991.2"	"FAM231B"
"226"	"ENSG00000219481.10"	"NBPF1"
"227"	"ENSG00000237847.2"	"FAM231A"
"228"	"ENSG00000279132.2"	"FAM231C"
"229"	"ENSG00000058453.16"	"CROCC"
"230"	"ENSG00000117122.13"	"MFAP2"
"231"	"ENSG00000159363.17"	"ATP13A2"
"232"	"ENSG00000117118.9"	"SDHB"
"233"	"ENSG00000117115.12"	"PADI2"
"234"	"ENSG00000142623.9"	"PADI1"
"235"	"ENSG00000142619.4"	"PADI3"
"236"	"ENSG00000159339.13"	"PADI4"
"237"	"ENSG00000276747.1"	"PADI6"
"238"	"ENSG00000179051.13"	"RCC2"
"239"	"ENSG00000074964.16"	"ARHGEF10L"
"240"	"ENSG00000117148.7"	"ACTL8"
"241"	"ENSG00000117154.11"	"IGSF21"
"242"	"ENSG00000179023.8"	"KLHDC7A"
"243"	"ENSG00000009709.11"	"PAX7"
"244"	"ENSG00000179002.5"	"TAS1R2"
"245"	"ENSG00000255275.3"	"AL080251.1"
"246"	"ENSG00000159423.16"	"ALDH4A1"
"247"	"ENSG00000169991.10"	"IFFO2"
"248"	"ENSG00000127481.14"	"UBR4"
"249"	"ENSG00000127463.14"	"EMC1"
"250"	"ENSG00000053372.4"	"MRTO4"
"251"	"ENSG00000162482.4"	"AKR7A3"
"252"	"ENSG00000053371.12"	"AKR7A2"
"253"	"ENSG00000040487.12"	"PQLC2"
"254"	"ENSG00000077549.17"	"CAPZB"
"255"	"ENSG00000173436.13"	"MINOS1"
"256"	"ENSG00000270136.5"	"MINOS1-NBL1"
"257"	"ENSG00000158747.13"	"NBL1"
"258"	"ENSG00000158748.3"	"HTR6"
"259"	"ENSG00000162542.13"	"TMCO4"
"260"	"ENSG00000178828.6"	"RNF186"
"261"	"ENSG00000169914.5"	"OTUD3"
"262"	"ENSG00000188784.4"	"PLA2G2E"
"263"	"ENSG00000188257.10"	"PLA2G2A"
"264"	"ENSG00000127472.10"	"PLA2G5"
"265"	"ENSG00000117215.14"	"PLA2G2D"
"266"	"ENSG00000158786.4"	"PLA2G2F"
"267"	"ENSG00000187980.6"	"PLA2G2C"
"268"	"ENSG00000162543.5"	"UBXN10"
"269"	"ENSG00000158816.15"	"VWA5B1"
"270"	"ENSG00000162545.5"	"CAMK2N1"
"271"	"ENSG00000090432.6"	"MUL1"
"272"	"ENSG00000183114.7"	"FAM43B"
"273"	"ENSG00000158825.5"	"CDA"
"274"	"ENSG00000158828.7"	"PINK1"
"275"	"ENSG00000244038.9"	"DDOST"
"276"	"ENSG00000117245.12"	"KIF17"
"277"	"ENSG00000189410.11"	"SH2D5"
"278"	"ENSG00000127483.17"	"HP1BP3"
"279"	"ENSG00000075151.20"	"EIF4G3"
"280"	"ENSG00000117298.14"	"ECE1"
"281"	"ENSG00000142794.18"	"NBPF3"
"282"	"ENSG00000162551.13"	"ALPL"
"283"	"ENSG00000076864.19"	"RAP1GAP"
"284"	"ENSG00000090686.15"	"USP48"
"285"	"ENSG00000187942.11"	"LDLRAD2"
"286"	"ENSG00000142798.17"	"HSPG2"
