id	name
ENSG00000281741.2	AC241377.3
ENSG00000226067.6	LINC00623
ENSG00000272583.1	AL592494.3
ENSG00000273213.1	AC239798.4
ENSG00000232527.7	AC245595.1
ENSG00000281571.2	AC241585.3
ENSG00000276216.1	AC245014.3
ENSG00000233396.7	LINC01719
ENSG00000237188.3	AC242426.3
ENSG00000273059.1	AC239803.2
ENSG00000274372.4	AC239803.3
ENSG00000234283.1	LINC01731
ENSG00000274020.2	LINC01138
ENSG00000238107.1	AC245100.6
ENSG00000272824.1	AC245100.7
ENSG00000280649.2	AC245100.8
ENSG00000274265.4	AC245297.3
ENSG00000277147.4	LINC00869
ENSG00000275557.1	AC242842.1
ENSG00000261716.1	AC239868.2
ENSG00000228126.1	FALEC
ENSG00000237781.3	AL356356.1
ENSG00000203804.4	ADAMTSL4-AS1
ENSG00000232671.5	AL391069.2
ENSG00000237976.1	AL391069.3
ENSG00000227045.1	AL589765.1
ENSG00000203288.3	TDRKH-AS1
ENSG00000269489.1	AL589765.6
ENSG00000234614.1	AL450992.2
ENSG00000238279.1	BX470102.1
ENSG00000272654.1	AL358472.2
ENSG00000228013.1	AL162591.1
ENSG00000235919.4	ASH1L-AS1
ENSG00000232519.2	AL353807.2
ENSG00000236947.5	AL139412.1
ENSG00000272971.1	AL365181.4
ENSG00000272068.1	AL365181.2
ENSG00000229953.1	AL590666.2
ENSG00000223356.1	AL590666.1
ENSG00000237189.1	AL138900.2
ENSG00000224259.6	LINC01133
ENSG00000234425.1	AL138930.1
ENSG00000283696.1	AL592295.4
ENSG00000283360.1	AL592295.3
ENSG00000283317.1	AL831711.1
ENSG00000226889.3	AL359541.1
ENSG00000272205.1	AL451050.2
ENSG00000228697.2	AL023755.1
ENSG00000213062.4	AL021068.1
ENSG00000203739.3	AL645568.1
ENSG00000270084.1	GAS5-AS1
ENSG00000234741.7	GAS5
ENSG00000224977.1	AL121983.1
ENSG00000227740.1	AL513329.1
ENSG00000236021.1	AL359265.3
ENSG00000254154.8	AL359075.2
ENSG00000224687.1	RASAL2-AS1
ENSG00000273384.1	AL137796.1
ENSG00000273062.1	AL449106.1
ENSG00000229407.5	AL359853.1
ENSG00000231966.1	AL359853.2
ENSG00000272906.1	AL353708.3
ENSG00000260360.1	AL353708.1
ENSG00000236719.2	OVAAL
ENSG00000261504.1	LINC01686
ENSG00000232860.7	SMG7-AS1
ENSG00000271387.1	AL445228.2
ENSG00000279838.1	AL356273.3
ENSG00000273004.1	AL078644.1
ENSG00000232498.1	AL136987.1
ENSG00000260088.1	AL445483.1
ENSG00000282221.1	AC119427.1
ENSG00000224536.2	AC096677.1
ENSG00000223774.5	AL513217.1
ENSG00000228288.6	PCAT6
ENSG00000231507.1	LINC01353
ENSG00000226330.1	AL606489.1
ENSG00000240710.1	AL512306.3
ENSG00000261000.1	AC244034.2
ENSG00000237605.1	AL591846.2
ENSG00000203709.11	C1orf132
ENSG00000230937.11	MIR205HG
ENSG00000227591.5	AL031316.1
ENSG00000203706.8	SERTAD4-AS1
ENSG00000153363.12	LINC00467
ENSG00000226251.5	AL451060.1
ENSG00000260805.2	AC092803.2
ENSG00000237980.1	AL590648.3
ENSG00000198468.7	FLVCR1-AS1
ENSG00000228470.1	AL929236.1
ENSG00000232480.1	TGFB2-AS1
ENSG00000277007.1	AC096642.1
ENSG00000238232.1	AL356364.1
ENSG00000221571.3	RNU6ATAC35P
ENSG00000227925.1	LINC01655
ENSG00000238042.5	LINC02257
ENSG00000228437.5	LINC02474
ENSG00000232679.1	LINC01705
ENSG00000276997.4	AL513314.2
ENSG00000225265.1	TAF1A-AS1
